NIT/RFP NO,Name of Work,Estimated Cost,Bid Submission Closing Date & Time,EMD Amount,Bid Opening Date & Time
30/EE/C-1)/D.DUN/2025-26/AE-II,"GENERAL MAINTENANCE & REPAIR WORK AT IGNFA, DEHRADUN.Subwork/Packages:GENERAL MAINTENANCE & REPAIR WORK AT IGNFA, DEHRADUN.","₹5,68,950",19/06/2025 15:00,"₹11,379",19/06/2025 15:30
46/EE-II/SD/AE-Kasauli/2025-26,Renovation work for laboratory part of new Academic block/class room at R & T Wing at CRI Kasauli (H.P.) (SH: Providing and fixing paver block & repair of shelves at R & T wing Kasauli (H.P.),"₹5,67,878",19/06/2025 15:00,"₹11,358",19/06/2025 15:30
13/EE(E)/Chennai-II/CPWD/2025-26/Ch-40/AE (E)-1/II,"Annual Comprehensive maintenance of conferencing units, VRF AC System, FAP, UPS Equipment, CCTV Equipment at C-4-C. C wing, Special Bureau, GPOA, Rajaji Bhawan, Besant Nagar, Chennai-90. SH :- Annual Comprehensive Maintenance of split/tower type AC system for the period 2025-2027","₹1,62,695",19/06/2025 15:00,"₹3,254",19/06/2025 15:30
23/NIT/MGCD/SH/2025-26,"AR & MO of Office Building and Residential Quarters at NERIE Campus, Umiam Shillong during 2024-25.","₹60,64,173",16/06/2025 15:00,"₹1,21,283",16/06/2025 15:30
11/DDH/HYD/2025-26,"Development and Maintenance of garden area attached to GSI Training Institutes main building and hostels, Bandlaguda. Hyderabad, Telangana. SH  Beautification and Landscaping new and existed area and maintenance of all garden features at GSI Training Institute, Bandlaguda.","₹31,73,212",19/06/2025 15:00,"₹63,464",19/06/2025 15:30
09/NIT/EE-BBSR-II/CPWD/2025-26,"Topographical survey & Soil Investigation for the land of Kendriya Vidyalaya, Kamakhyanagar, Odisha.","₹3,50,000",19/06/2025 15:00,"₹7,000",19/06/2025 15:30
13/AE-IV/TRY/2025-26,"Construction of (G PLUS 5) Boys Hostel for UG,PG and Research Scholars for NIFTEM at Thanjavur (SH: Providing the services of 1 No of commercial inspection vehicle (motor car) for Executive Engineer (Trichy -I), CPWD, NIT Campus Trichy For the period of 10 months)Subwork/Packages:Hiring of vehicles","₹5,65,034",19/06/2025 15:00,"₹11,301",19/06/2025 15:30
04/EE/C1D/AE(C)-3/CPWD/CHENNAI/2025-2026,"Annual and Special Repairs in GPRA campus at Thirumangalam, Chennai-40.","₹5,93,388",19/06/2025 15:00,"₹11,868",19/06/2025 15:30
14 / EE / MUMBAI I / 2025 - 26 (2ND CALL),"DEMOLISHING OF SAHAKARI BHANDAR (UNAUTHORISED CONSTRUCTION) AT B BLOCK, HYDERABAD ESTATE, N. S. ROAD, MUMBAI - 26.Subwork/Packages:NA",₹0,18/06/2025 15:00,"₹11,000",18/06/2025 15:30
05/EE/Trichy-II/2025-26,"Construction of compound wall and extension of existing dias at first floor conference hall at Indian Institute of Information Technology Campus, Sethurapatti, Trichy","₹11,03,152",19/06/2025 15:00,"₹22,063",19/06/2025 15:30
